Season,League,Official Borda,Borda-Top3,Ranks-Top3
2012,AL,"Cabrera, Trout, Beltre, Cano, Hamilton","Cabrera, Trout, Beltre, Cano, Jeter","1, 2, 3, 4, 7"
2012,NL,"Posey, Braun, McCutchen, Molina, Headley","Posey, Braun, Molina, McCutchen, Kimbrel","1, 2, 4, 3, 8"
2013,NL,"McCutchen, Goldschmidt, Molina, Carpenter, Freeman","McCutchen, Goldschmidt, Molina, Carpenter, Kershaw","1, 2, 3, 4, 7"
2014,AL,"Trout, Martinez, Brantley, Abreu, Cano","Trout, Martinez, Brantley, Abreu, Cruz","1, 2, 3, 4, 7"
2015,AL,"Donaldson, Trout, Cain, Machado, Keuchel","Donaldson, Trout, Cain, Machado, Cruz","1, 2, 3, 4, 6"
2015,NL,"Harper, Goldschmidt, Votto, Rizzo, McCutchen","Harper, Goldschmidt, Arrieta, Rizzo, Greinke","1, 2, 6, 4, 7"
2016,AL,"Trout, Betts, Altuve, Donaldson, Machado","Trout, Betts, Altuve, Donaldson, Ortiz","1, 2, 3, 4, 6"
2016,NL,"Bryant, Murphy, Seager, Rizzo, Arenado","Bryant, Murphy, Seager, Arenado, Rizzo","1, 2, 3, 5, 4"
2017,AL,"Altuve, Judge, Ramirez, Trout, Lindor","Altuve, Judge, Ramirez, Trout, Kluber","1, 2, 3, 4, 7"
2017,NL,"Stanton, Votto, Goldschmidt, Arenado, Blackmon","Stanton, Votto, Goldschmidt, Blackmon, Arenado","1, 2, 3, 5, 4"
2018,AL,"Betts, Trout, Ramirez, Martinez, Bregman","Betts, Trout, Martinez, Ramirez, Bregman","1, 2, 4, 3, 5"
2018,NL,"Yelich, Baez, Arenado, Freeman, DeGrom","Yelich, Baez, DeGrom, Arenado, Freeman","1, 2, 5, 3, 4"
2019,NL,"Bellinger, Yelich, Rendon, Marte, AcunaJr","Bellinger, Yelich, Rendon, Marte, Freeman","1, 2, 3, 4, 8"
2020,AL,"Abreu, Ramirez, LeMahieu, Bieber, Trout","Abreu, Ramirez, LeMahieu, Trout, Bieber","1, 2, 3, 5, 4"
2021,AL,"Ohtani, GuerreroJr, Semien, Judge, Correa","Ohtani, GuerreroJr, Semien, Perez, Judge","1, 2, 3, 7, 4"
2022,AL,"Judge, Ohtani, Alvarez, Ramirez, Altuve","Judge, Ohtani, Alvarez, Ramirez, Gimenez","1, 2, 3, 4, 6"
2022,NL,"Goldschmidt, Machado, Arenado, Freeman, Betts","Goldschmidt, Machado, Arenado, Freeman, Alonso","1, 2, 3, 4, 8"
