Player,Borda Points
Harper,30
Goldschmidt,11.635714285714286
Votto,6.666666666666666
Rizzo,6.588492063492064
Arrieta,6.001984126984127
McCutchen,5.45357142857143
Greinke,5.4142857142857155
Arenado,4.053968253968255
Posey,3.5194444444444444
Kershaw,1.9067460317460319
Carpenter,1.3746031746031746
Bryant,1.3230158730158728
Pollock,1.321825396825397
Cespedes,0.9619047619047619
Heyward,0.6678571428571428
Gordon,0.3333333333333333
Gonzalez,0.2111111111111111
Rosenthal,0.16666666666666666
Granderson,0.14285714285714285
Cole,0.125
