Season,Week,Highest Diff Ranking
2019,10,1
2019,11,1
2022,6,1
2014,15,1
2014,2,2
2016,2,2
2015,6,2
2022,10,2
2014,1,3
2020,4,3
2015,7,3
2021,15,3
2020,7,3
2017,10,4
2017,16,4
2024,3,4
2014,9,4
2023,6,4
2023,5,4
2020,5,4
2020,6,4
2014,14,5
2017,2,5
2020,2,5
2016,6,5
2020,3,5
2017,11,5
2015,13,5
2014,5,5
2021,11,5
2023,3,5
2023,4,5
2014,17,5
2019,16,6
2015,5,6
2020,10,6
2021,7,6
2022,5,7
2014,7,8
2015,10,8
2018,6,8
2018,10,8
2017,3,8
2016,1,8
2018,11,8
2016,15,8
2018,12,8
2014,8,8
2019,2,8
2022,15,9
2019,12,9
2016,3,9
2018,8,9
2016,7,9
2018,4,9
2017,15,9
2020,8,10
2019,14,10
2020,11,10
2019,4,10
2014,4,10
2014,16,10
2016,11,10
2017,12,11
2014,3,11
2019,17,11
2016,13,11
2024,2,11
2018,7,11
2014,11,11
2017,1,11
2022,11,11
2020,17,12
2016,4,12
2015,12,12
2016,9,12
2017,8,12
2018,2,12
2022,16,12
2014,10,13
2015,1,13
2022,4,13
2019,1,13
2022,1,13
2020,9,13
2018,3,13
2018,1,13
2022,2,14
2015,3,14
2021,1,14
2022,7,14
2021,2,15
2017,14,15
2016,14,15
2024,5,16
2017,9,16
2016,5,16
2015,8,17
2023,16,17
2015,16,17
2023,12,17
2023,11,17
2022,9,17
2019,5,18
2018,15,18
2017,13,18
2014,13,18
2017,5,18
2023,1,18
2021,6,18
2015,15,18
2024,1,18
2018,5,18
2022,3,18
2014,12,19
2021,10,19
2015,4,19
2016,10,19
2021,14,20
2021,3,20
2020,12,20
2018,16,20
2024,4,21
2023,8,21
2023,14,21
2016,16,21
2019,15,21
2016,8,21
2020,16,21
2019,6,21
2021,12,22
2020,1,22
2015,14,22
2020,15,22
2023,2,22
2019,3,23
2022,8,23
2021,4,23
2021,16,23
2020,14,23
2023,15,23
2021,8,23
2023,9,24
2015,11,24
2018,13,24
2021,5,24
2017,4,24
2021,13,25
2023,7,25
2022,13,25
2023,13,25
2021,9,25
2018,9,26
2020,13,26
2016,12,26
2018,14,26
2023,10,26
2017,6,27
2019,7,27
2022,12,27
2019,9,28
2015,9,29
2014,6,29
2019,8,30
2019,13,32
2022,14,32
